Id;Title;Category;Interaction;Description
0;Replay Attacks;Tampering;HTTPS;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
1;Collision Attacks;Tampering;HTTPS;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
2;Cross Site Scripting;Tampering;HTTPS;The web server 'Proxy Login' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
3;Potential Data Repudiation by Proxy Login;Repudiation;HTTPS;Proxy Login claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
4;Weak Authentication Scheme;Information Disclosure;HTTPS;Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.
5;Potential Process Crash or Stop for Proxy Login;Denial Of Service;HTTPS;Proxy Login crashes, halts, stops or runs slowly
6;Data Flow HTTPS Is Potentially Interrupted;Denial Of Service;HTTPS;An external agent interrupts data flowing across a trust boundary in either direction.
7;Elevation Using Impersonation;Elevation Of Privilege;HTTPS;Proxy Login may be able to impersonate the context of  Client in order to gain additional privilege.
8;Proxy Login May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTPS; Client may be able to remotely execute code for Proxy Login.
9;Elevation by Changing the Execution Flow in Proxy Login;Elevation Of Privilege;HTTPS;An attacker may pass data into Proxy Login in order to change the flow of program execution within Proxy Login to the attacker's choosing.
