Title;Category;Diagram;Interaction;Priority;State;Changed By;Description;Justification;Last Modified;;;;;;
Replay Attacks;Tampering;Diagram 1;HTTPS;High;Not Started;LAPTOP-NTLPUK8E\forza;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.;;07/12/2022 16:24;;;;;;
Collision Attacks;Tampering;Diagram 1;HTTPS;Medium;Not Applicable;ASUS_GIUSEPPE\giuse;"""Attackers who can send a series of packets or messages may be able to overlap data. For example"; packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it;" and ensure you explicitly handle these sorts of cases.""";"""Le patch di sicurezza postume a Windows 7 implementano patch di sicurezza contro attacchi di questo tipo ispezionando il traffico di rete continuamente e chiudendo le connessioni in entrata """"sospette""""";" che cioè fanno flooding di pacchetti IP frammentati. Un'ulteriore soluzione potrebbe essere quella di implementare meccanismi di firewalling sul perimetro della rete che controlli pacchetti di questo tipo e tagli la connessione in questi casi. """;07/12/2022 23:53;;;
Cross Site Scripting;Tampering;Diagram 1;HTTPS;Low;Not Applicable;ASUS_GIUSEPPE\giuse;The web server 'Proxy Login' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.;"""Il proxy login espone un'unica form all'esterno nella quale non è possibile inserire script";" dato che quanto viene preso dal proxy viene mandato automaticamente a Keycloak che respingerebbe il tentativo di login. """;07/12/2022 18:31;;;;;
Potential Data Repudiation by Proxy Login;Repudiation;Diagram 1;HTTPS;High;Needs Investigation;ASUS_GIUSEPPE\giuse;"""Proxy Login claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source"; time;" and summary of the received data.""";Meccanismi di logging opportuni sui proxy sono da implementare;07/12/2022 18:36;;;;
Weak Authentication Scheme;Information Disclosure;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;"""Custom authentication schemes are susceptible to common weaknesses such as weak credential change management"; credential equivalence; easily guessable credentials; null credentials;" downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.""";Si usa Keycloak;07/12/2022 23:40;;
Potential Process Crash or Stop for Proxy Login;Denial Of Service;Diagram 1;HTTPS;High;Needs Investigation;ASUS_GIUSEPPE\giuse;"""Proxy Login crashes"; halts; stops or runs slowly;;;;;;
Data Flow HTTPS Is Potentially Interrupted;Denial Of Service;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;An external agent interrupts data flowing across a trust boundary in either direction.;;07/12/2022 18:38;;;;;;
Elevation Using Impersonation;Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;Proxy Login may be able to impersonate the context of  Client in order to gain additional privilege.;"""Il proxy si occupa solo di ritrasmettere """;07/12/2022 18:39;;;;;;
Proxy Login May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;""" Client may be able to remotely execute code for Proxy Login.""";"""L'approccio fornito dai proxy è deny-by-default: un attaccante che provi a richiamare una REST API secondo un pattern non previsto riceverà un errore HTTP di base. Gli unici pattern concessi sono quei pochi necessari al proxy per rigirare il messaggio ad Artemis. """;07/12/2022 20:34;;;;;;
Elevation by Changing the Execution Flow in Proxy Login;Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;An attacker may pass data into Proxy Login in order to change the flow of program execution within Proxy Login to the attacker's choosing.;;07/12/2022 18:41;;;;;;
Spoofing the Proxy Login Process;Spoofing;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;Proxy Login may be spoofed by an attacker and this may lead to unauthorized access to  Client. Consider using a standard authentication mechanism to identify the source process.;I proxy usano un certificato di sicurezza per autenticarsi agli occhi dei client;07/12/2022 18:42;;;;;;
Proxy Login Process Memory Tampered;Tampering;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;"""If Proxy Login is given access to memory"; such as shared memory or pointers; or is given the ability to control what  Client executes (for example; passing back a function pointer.); then Proxy Login can tamper with  Client. Consider if the function could work with less access to memory; such as passing data rather than pointers. Copy in data provided;" and then validate it.""";;07/12/2022 18:42
Replay Attacks;Tampering;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.;"""TLS cripta il sequence number dei messaggi TCP e il token di sessione del client";" impedendo che eventuali ascoltatori sul canale possano utilizzarli.""";07/12/2022 18:51;;;;;
Collision Attacks;Tampering;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;"""Attackers who can send a series of packets or messages may be able to overlap data. For example"; packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it;" and ensure you explicitly handle these sorts of cases.""";;07/12/2022 18:51;;;;
Potential Data Repudiation by  Client;Repudiation;Diagram 1;HTTPS;High;Needs Investigation;ASUS_GIUSEPPE\giuse;""" Client claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source"; time;" and summary of the received data.""";;07/12/2022 18:51;;;;
Potential Process Crash or Stop for  Client;Denial Of Service;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;""" Client crashes"; halts; stops or runs slowly;;;;;;
Data Flow HTTPS Is Potentially Interrupted;Denial Of Service;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;An external agent interrupts data flowing across a trust boundary in either direction.;;07/12/2022 18:52;;;;;;
Elevation Using Impersonation;Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;""" Client may be able to impersonate the context of Proxy Login in order to gain additional privilege.""";;07/12/2022 18:52;;;;;;
""" Client May be Subject to Elevation of Privilege Using Remote Code Execution""";Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;Proxy Login may be able to remotely execute code for  Client.;;07/12/2022 18:52;;;;;;
Elevation by Changing the Execution Flow in  Client;Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;An attacker may pass data into  Client in order to change the flow of program execution within  Client to the attacker's choosing.;;07/12/2022 23:46;;;;;;
Replay Attacks;Tampering;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.;;07/12/2022 18:53;;;;;;
Collision Attacks;Tampering;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;"""Attackers who can send a series of packets or messages may be able to overlap data. For example"; packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it;" and ensure you explicitly handle these sorts of cases.""";;07/12/2022 23:51;;;;
Cross Site Scripting;Tampering;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;The web server 'Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.;;07/12/2022 18:54;;;;;;
Potential Data Repudiation by Proxy;Repudiation;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;"""Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source"; time;" and summary of the received data.""";;07/12/2022 18:54;;;;
Weak Authentication Scheme;Information Disclosure;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;"""Custom authentication schemes are susceptible to common weaknesses such as weak credential change management"; credential equivalence; easily guessable credentials; null credentials;" downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.""";;07/12/2022 23:52;;
Potential Process Crash or Stop for Proxy;Denial Of Service;Diagram 1;HTTPS;High;Needs Investigation;ASUS_GIUSEPPE\giuse;"""Proxy crashes"; halts; stops or runs slowly;;;;;;
Data Flow HTTPS Is Potentially Interrupted;Denial Of Service;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;An external agent interrupts data flowing across a trust boundary in either direction.;;07/12/2022 18:54;;;;;;
Elevation Using Impersonation;Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;Proxy may be able to impersonate the context of  Client in order to gain additional privilege.;;07/12/2022 18:54;;;;;;
Proxy May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;""" Client may be able to remotely execute code for Proxy.""";"""L'approccio fornito dai proxy è deny-by-default: un attaccante che provi a richiamare una REST API secondo un pattern non previsto riceverà un errore HTTP di base. Gli unici pattern concessi sono quei pochi necessari al proxy per rigirare il messaggio ad Artemis. """;07/12/2022 20:33;;;;;;
Elevation by Changing the Execution Flow in Proxy;Elevation Of Privilege;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;An attacker may pass data into Proxy in order to change the flow of program execution within Proxy to the attacker's choosing.;;07/12/2022 18:54;;;;;;
Spoofing the Proxy Process;Spoofing;Diagram 1;HTTPS;High;Mitigated;ASUS_GIUSEPPE\giuse;Proxy may be spoofed by an attacker and this may lead to unauthorized access to  Client. Consider using a standard authentication mechanism to identify the source process.;;07/12/2022 18:55;;;;;;
Proxy Process Memory Tampered;Tampering;Diagram 1;HTTPS;High;Not Applicable;ASUS_GIUSEPPE\giuse;"""If Proxy is given access to memory"; such as shared memory or pointers; or is given the ability to control what  Client executes (for example; passing back a function pointer.); then Proxy can tamper with  Client. Consider if the function could work with less access to memory; such as passing data rather than pointers. Copy in data provided;" and then validate it.""";;07/12/2022 18:55
